timestamp_ns,ekf_x,ekf_y,ekf_theta,gt_x,gt_y,gt_theta,odom_x,odom_y,odom_theta,pos_error,orient_error,P_xx,P_yy,P_thetatheta
3224000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.010,0.012
5282000000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.011,0.010,0.012
7298000000,-0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.010,0.012
9317000000,0.078,0.000,0.032,0.099,0.002,0.051,0.098,0.002,0.050,0.021,-0.018,0.012,0.010,0.013
11321000000,0.322,-0.017,0.202,0.471,0.062,0.257,0.472,0.063,0.257,0.170,-0.055,0.008,0.009,0.005
13274000000,0.678,0.051,0.347,0.826,0.185,0.396,0.818,0.182,0.395,0.199,-0.049,0.010,0.008,0.011
15325000000,0.976,0.153,0.255,1.148,0.302,0.294,1.146,0.302,0.294,0.227,-0.038,0.008,0.007,0.004
17329000000,1.280,0.278,0.165,1.528,0.394,0.184,1.524,0.394,0.184,0.274,-0.019,0.007,0.007,0.004
19331000000,1.542,0.373,0.108,1.867,0.442,0.111,1.865,0.442,0.110,0.333,-0.003,0.006,0.007,0.006
21334000000,1.927,0.423,0.073,2.263,0.478,0.072,2.259,0.478,0.071,0.340,0.001,0.010,0.007,0.006
23337000000,2.337,0.430,0.051,2.639,0.501,0.056,2.634,0.501,0.055,0.310,-0.004,0.008,0.000,0.006
25337000000,2.669,0.451,0.075,3.002,0.526,0.080,2.997,0.525,0.080,0.341,-0.006,0.010,0.000,0.004
27344000000,3.049,0.483,0.090,3.400,0.561,0.095,3.394,0.560,0.095,0.360,-0.005,0.011,0.000,0.006
29349000000,3.411,0.507,0.069,3.740,0.592,0.071,3.730,0.591,0.071,0.340,-0.002,0.008,0.000,0.006
31350000000,3.859,0.525,0.016,4.135,0.609,0.020,4.124,0.608,0.020,0.288,-0.004,0.023,0.000,0.006
33361000000,4.268,0.522,-0.007,4.508,0.612,-0.001,4.498,0.611,-0.001,0.256,-0.006,0.010,0.000,0.006
35368000000,4.632,0.521,0.002,4.878,0.614,0.010,4.866,0.612,0.009,0.264,-0.007,0.089,0.000,0.008
37368000000,5.026,0.524,0.011,5.278,0.619,0.017,5.266,0.617,0.016,0.269,-0.005,0.154,0.000,0.006
39378000000,5.370,0.523,0.012,5.622,0.625,0.018,5.610,0.623,0.018,0.272,-0.007,0.043,0.000,0.008
41386000000,5.772,0.528,0.012,6.023,0.633,0.019,6.010,0.630,0.018,0.272,-0.007,0.100,0.000,0.010
43389000000,6.144,0.530,0.012,6.390,0.640,0.019,6.377,0.637,0.018,0.269,-0.007,0.012,0.000,0.002
45402000000,6.524,0.538,0.029,6.768,0.650,0.036,6.757,0.648,0.036,0.268,-0.007,0.068,0.000,0.002
47406000000,6.900,0.552,0.039,7.167,0.667,0.046,7.156,0.664,0.045,0.291,-0.007,0.077,0.000,0.004
49400000000,7.232,0.574,0.207,7.489,0.697,0.230,7.476,0.693,0.229,0.285,-0.023,0.001,0.000,0.002
51406000000,7.567,0.714,0.577,7.816,0.845,0.593,7.808,0.844,0.596,0.281,-0.016,0.001,0.000,0.002
53410000000,7.858,0.946,0.764,8.094,1.075,0.770,8.084,1.075,0.771,0.269,-0.006,0.000,0.000,0.002
55401000000,8.106,1.189,0.777,8.349,1.327,0.780,8.340,1.329,0.781,0.279,-0.003,0.000,0.000,0.002
57403000000,8.391,1.468,0.775,8.633,1.608,0.778,8.624,1.610,0.779,0.280,-0.004,0.000,0.000,0.002
59437000000,8.676,1.741,0.775,8.923,1.894,0.779,8.912,1.894,0.780,0.290,-0.004,0.001,0.001,0.004
61436000000,8.960,2.020,0.776,9.207,2.175,0.781,9.195,2.175,0.782,0.291,-0.005,0.001,0.001,0.004
63440000000,9.248,2.297,0.777,9.491,2.457,0.781,9.479,2.457,0.782,0.291,-0.004,0.001,0.001,0.004
65444000000,9.532,2.576,0.780,9.775,2.740,0.784,9.762,2.739,0.785,0.294,-0.004,0.001,0.001,0.004
67449000000,9.817,2.858,0.778,10.059,3.023,0.784,10.045,3.022,0.785,0.293,-0.005,0.001,0.001,0.004
69449000000,10.058,3.096,0.844,10.294,3.266,0.859,10.279,3.265,0.859,0.291,-0.015,0.001,0.001,0.004
71455000000,10.300,3.408,0.969,10.527,3.575,0.978,10.515,3.578,0.980,0.282,-0.009,0.001,0.002,0.006
73456000000,10.509,3.722,1.020,10.720,3.879,1.025,10.707,3.881,1.027,0.264,-0.005,0.001,0.002,0.008
75462000000,10.702,4.040,1.031,10.920,4.213,1.036,10.905,4.214,1.038,0.278,-0.006,0.001,0.002,0.006
77465000000,10.909,4.368,0.942,11.130,4.544,0.939,11.114,4.544,0.941,0.282,0.004,0.001,0.002,0.006
79466000000,11.120,4.620,0.869,11.346,4.806,0.877,11.328,4.805,0.877,0.293,-0.008,0.001,0.002,0.006
81469000000,11.365,4.922,0.882,11.595,5.115,0.881,11.576,5.114,0.883,0.300,0.001,0.001,0.002,0.006
83478000000,11.611,5.192,0.768,11.837,5.382,0.775,11.818,5.382,0.774,0.296,-0.007,0.002,0.002,0.008
85477000000,11.915,5.402,0.454,12.135,5.588,0.447,12.114,5.585,0.445,0.288,0.007,0.006,0.003,0.008
87481000000,12.304,5.539,0.249,12.495,5.713,0.250,12.472,5.708,0.246,0.258,-0.001,0.017,0.004,0.008
89494000000,12.663,5.619,0.177,12.844,5.787,0.181,12.820,5.781,0.177,0.246,-0.004,0.023,0.001,0.010
91501000000,13.068,5.684,0.147,13.237,5.852,0.153,13.216,5.845,0.149,0.238,-0.007,0.056,0.002,0.002
93502000000,13.473,5.739,0.139,13.632,5.911,0.145,13.611,5.902,0.141,0.234,-0.006,0.011,0.001,0.002
95514000000,13.853,5.792,0.138,14.030,5.969,0.146,14.007,5.958,0.142,0.251,-0.008,0.022,0.001,0.002
97522000000,14.187,5.839,0.141,14.367,6.019,0.149,14.342,6.007,0.144,0.254,-0.008,0.023,0.001,0.004
99532000000,14.344,5.871,0.282,14.533,6.057,0.304,14.510,6.045,0.301,0.266,-0.022,0.004,0.001,0.004
101534000000,14.686,6.027,0.567,14.864,6.220,0.578,14.843,6.207,0.575,0.263,-0.011,0.003,0.001,0.004
103542000000,14.988,6.270,0.710,15.170,6.455,0.715,15.149,6.441,0.713,0.259,-0.005,0.002,0.002,0.004
105549000000,15.285,6.531,0.734,15.467,6.721,0.735,15.446,6.706,0.733,0.263,-0.001,0.002,0.002,0.004
107551000000,15.586,6.801,0.740,15.764,6.990,0.739,15.746,6.976,0.737,0.259,0.001,0.002,0.002,0.006
109557000000,15.744,6.957,0.627,15.929,7.125,0.615,15.908,7.109,0.612,0.249,0.013,0.003,0.002,0.006
111567000000,16.071,7.141,0.422,16.264,7.309,0.414,16.240,7.290,0.411,0.256,0.008,0.004,0.002,0.006
113577000000,16.415,7.305,0.331,16.602,7.437,0.330,16.579,7.417,0.326,0.230,0.001,0.003,0.001,0.008
115583000000,16.727,7.467,0.629,16.919,7.606,0.642,16.898,7.585,0.638,0.237,-0.013,0.002,0.001,0.008
117590000000,17.012,7.730,0.836,17.195,7.865,0.840,17.175,7.844,0.837,0.228,-0.004,0.002,0.003,0.010
119599000000,17.119,7.855,0.883,17.292,7.979,0.880,17.274,7.959,0.878,0.214,0.003,0.002,0.003,0.010
