timestamp_ns,ekf_x,ekf_y,ekf_theta,gt_x,gt_y,gt_theta,odom_x,odom_y,odom_theta,pos_error,orient_error,P_xx,P_yy,P_thetatheta,,
6194000000,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,,0
8292000000,-0.05,0.055,0.018,0,0,0,0,0,0,0.074,0.018,0.002,0.006,0,,0.005476
10291000000,-0.049,0.054,0.019,0,0,0,0,0,0,0.073,0.019,0.002,0.006,0,,0.005329
12550000000,-0.052,0.053,0.018,0,0,0,0,0,0,0.074,0.018,0.002,0.006,0,,0.005476
14634000000,0.238,0.071,0.131,0.313,0.02,0.125,0.311,0.02,0.125,0.091,0.006,0.002,0.006,0,,0.008281
16719000000,0.625,0.13,0.243,0.711,0.094,0.23,0.698,0.091,0.229,0.093,0.013,0,0,0,,0.008649
18803000000,0.998,0.224,0.231,1.065,0.175,0.211,1.064,0.175,0.212,0.083,0.019,0,0,0,,0.006889
20822000000,1.391,0.311,0.209,1.459,0.255,0.191,1.458,0.255,0.191,0.088,0.019,0,0,0,,0.007744
22821000000,1.721,0.381,0.208,1.794,0.318,0.19,1.792,0.319,0.19,0.097,0.018,0,0,0,,0.009409
24825000000,2.111,0.465,0.216,2.187,0.395,0.198,2.184,0.396,0.198,0.103,0.018,0,0,0,,0.010609
26825000000,2.495,0.551,0.221,2.558,0.47,0.202,2.554,0.471,0.202,0.102,0.019,0,0,0,,0.010404
28834000000,2.847,0.609,0.102,2.909,0.519,0.079,2.902,0.52,0.079,0.109,0.024,0.001,0,0,,0.011881
30835000000,3.238,0.631,0.019,3.302,0.533,0.001,3.293,0.533,0.001,0.117,0.018,0.002,0,0,,0.013689
32843000000,3.585,0.638,0.012,3.643,0.53,-0.005,3.635,0.529,-0.005,0.123,0.016,0.001,0,0,,0.015129
34855000000,3.982,0.648,0.036,4.043,0.533,0.018,4.033,0.533,0.018,0.13,0.018,0.001,0,0,,0.0169
36859000000,4.369,0.667,0.047,4.417,0.542,0.027,4.407,0.541,0.027,0.134,0.02,0,0,0,,0.017956
38859000000,4.734,0.682,0.034,4.786,0.549,0.014,4.773,0.549,0.013,0.142,0.02,0.001,0,0,,0.020164
40859000000,5.133,0.693,0.025,5.185,0.553,0.006,5.172,0.552,0.005,0.15,0.019,0.002,0,0,,0.0225
42869000000,5.477,0.708,0.049,5.527,0.557,0.03,5.515,0.555,0.029,0.159,0.019,0.001,0,0,,0.025281
44873000000,5.87,0.737,0.097,5.922,0.579,0.078,5.909,0.578,0.077,0.166,0.019,0.001,0,0,,0.027556
46880000000,6.25,0.782,0.117,6.296,0.612,0.096,6.283,0.611,0.096,0.175,0.021,0,0,0,,0.030625
48886000000,6.626,0.825,0.108,6.67,0.647,0.087,6.66,0.645,0.086,0.183,0.022,0.001,0,0,,0.033489
50901000000,7.021,0.866,0.102,7.071,0.68,0.08,7.058,0.678,0.08,0.193,0.022,0.001,0,0,,0.037249
52901000000,7.343,0.915,0.253,7.399,0.719,0.246,7.39,0.718,0.251,0.204,0.007,0,0,0,,0.041616
54933000000,7.689,1.07,0.567,7.738,0.868,0.551,7.726,0.867,0.551,0.208,0.016,0,0,0,,0.043264
56943000000,7.978,1.281,0.701,8.016,1.07,0.686,8.005,1.07,0.687,0.215,0.016,0,0,0,,0.046225
58956000000,8.259,1.519,0.697,8.317,1.316,0.68,8.303,1.315,0.682,0.211,0.017,0,0,0,,0.044521
60965000000,8.568,1.775,0.689,8.63,1.567,0.673,8.617,1.567,0.675,0.218,0.016,0,0,0,,0.047524
62973000000,8.891,1.976,0.7,8.941,1.817,0.696,8.927,1.817,0.697,0.167,0.004,0,0,0,,0.027889
64973000000,9.19,2.236,0.726,9.241,2.076,0.721,9.228,2.077,0.722,0.168,0.005,0,0,0,,0.028224
66976000000,9.485,2.44,0.734,9.542,2.341,0.722,9.527,2.341,0.723,0.114,0.012,0,0,0,,0.012996
68977000000,9.776,2.708,0.749,9.838,2.607,0.736,9.823,2.608,0.737,0.118,0.013,0,0,0,,0.013924
70985000000,10.073,2.981,0.738,10.136,2.875,0.725,10.123,2.878,0.727,0.124,0.013,0,0,0,,0.015376
72986000000,10.321,3.22,0.855,10.378,3.105,0.868,10.364,3.108,0.869,0.129,-0.013,0,0,0,,0.016641
74989000000,10.526,3.535,1.103,10.582,3.418,1.097,10.568,3.423,1.099,0.13,0.005,0,0,0,,0.0169
