timestamp_ns,ekf_x,ekf_y,ekf_theta,gt_x,gt_y,gt_theta,odom_x,odom_y,odom_theta,pos_error,orient_error,P_xx,P_yy,P_thetatheta
5068000000,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01
5382000000,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01
7383000000,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01
9402000000,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01
11415000000,0.093,0,0.038,0.117,0.004,0.061,0.115,0.003,0.06,0.024,-0.024,0.01,0.01,0.008
13397000000,0.306,-0.025,0.203,0.485,0.066,0.264,0.488,0.067,0.265,0.201,-0.061,0.005,0.008,0.001
15394000000,0.597,-0.014,0.343,0.812,0.182,0.411,0.814,0.183,0.41,0.291,-0.067,0.005,0.006,0
17419000000,0.924,0.052,0.256,1.162,0.316,0.319,1.16,0.315,0.319,0.355,-0.063,0.005,0.005,0
19421000000,1.283,0.161,0.193,1.54,0.426,0.249,1.541,0.426,0.248,0.369,-0.056,0.004,0.005,0
21405000000,1.592,0.257,0.126,1.866,0.496,0.178,1.867,0.496,0.176,0.364,-0.052,0,0,0
23430000000,1.993,0.294,0.063,2.261,0.554,0.117,2.256,0.552,0.115,0.373,-0.054,0,0,0
25432000000,2.338,0.315,0.038,2.602,0.589,0.093,2.596,0.587,0.091,0.38,-0.055,0,0,0
27437000000,2.742,0.321,-0.009,2.995,0.616,0.045,2.987,0.613,0.043,0.388,-0.054,0.001,0,0
29445000000,3.149,0.312,-0.035,3.394,0.628,0.02,3.388,0.625,0.018,0.4,-0.055,0.002,0,0
31450000000,3.478,0.302,-0.037,3.748,0.634,0.019,3.74,0.63,0.017,0.429,-0.056,0.001,0,0
33461000000,3.881,0.287,-0.034,4.15,0.643,0.023,4.143,0.638,0.021,0.446,-0.056,0.001,0,0
35461000000,4.229,0.279,-0.031,4.502,0.651,0.024,4.493,0.645,0.023,0.462,-0.056,0,0,0
37477000000,4.627,0.268,-0.024,4.904,0.662,0.031,4.892,0.656,0.029,0.482,-0.056,0.001,0,0
39476000000,5.027,0.259,-0.021,5.303,0.675,0.035,5.292,0.668,0.033,0.5,-0.055,0.002,0,0
41486000000,5.402,0.251,-0.023,5.66,0.687,0.032,5.648,0.68,0.03,0.507,-0.055,0.001,0,0
43486000000,5.806,0.24,-0.026,6.059,0.699,0.029,6.052,0.691,0.027,0.524,-0.055,0.001,0,0
45509000000,6.151,0.234,-0.033,6.415,0.709,0.02,6.401,0.7,0.018,0.544,-0.052,0,0,0
47510000000,6.542,0.206,-0.107,6.808,0.702,-0.053,6.793,0.692,-0.055,0.562,-0.053,0.001,0,0
49520000000,6.936,0.156,-0.144,7.206,0.672,-0.089,7.192,0.662,-0.091,0.583,-0.055,0.001,0,0
51507000000,7.236,0.092,-0.328,7.532,0.623,-0.283,7.518,0.611,-0.29,0.608,-0.045,0,0,0
53522000000,7.574,-0.08,-0.594,7.876,0.467,-0.543,7.856,0.455,-0.549,0.625,-0.051,0,0,0
55535000000,7.832,-0.273,-0.689,8.15,0.277,-0.613,8.126,0.266,-0.622,0.635,-0.076,0,0,0
57538000000,8.122,-0.385,-0.031,8.459,0.187,0.058,8.439,0.171,0.05,0.664,-0.09,0,0,0
59542000000,8.436,-0.287,0.601,8.761,0.311,0.681,8.749,0.297,0.68,0.681,-0.08,0,0,0
61548000000,8.689,-0.035,1.028,8.976,0.59,1.092,8.966,0.578,1.091,0.688,-0.064,0,0,0
63550000000,8.861,0.308,1.154,9.127,0.947,1.205,9.117,0.935,1.205,0.691,-0.051,0,0,0
65551000000,8.946,0.583,1.553,9.17,1.242,1.64,9.162,1.23,1.614,0.696,-0.087,0,0,0
67552000000,9.017,0.919,1.148,9.222,1.598,1.218,9.223,1.58,1.189,0.709,-0.07,0,0,0
69553000000,9.202,1.199,0.857,9.404,1.922,0.936,9.413,1.897,0.906,0.751,-0.079,0,0,0
71555000000,9.466,1.468,0.742,9.655,2.22,0.827,9.672,2.185,0.796,0.775,-0.085,0,0,0
73564000000,9.762,1.736,0.743,9.927,2.513,0.833,9.954,2.471,0.801,0.794,-0.09,0,0,0
75567000000,10.049,2.015,0.792,10.186,2.812,0.881,10.223,2.761,0.849,0.809,-0.089,0,0,0
77573000000,10.321,2.304,0.84,10.43,3.123,0.929,10.476,3.064,0.897,0.827,-0.089,0,0,0
79577000000,10.58,2.604,0.875,10.662,3.445,0.963,10.718,3.378,0.932,0.845,-0.088,0,0,0
81584000000,10.664,2.709,0.885,10.725,3.538,0.971,10.786,3.47,0.939,0.831,-0.086,0,0,0
83594000000,10.813,2.913,0.999,10.862,3.767,1.092,10.928,3.693,1.06,0.855,-0.094,0,0,0
85601000000,11.008,3.264,1.114,11.019,4.122,1.202,11.1,4.05,1.172,0.858,-0.089,0,0,0
87622000000,11.173,3.625,1.154,11.154,4.498,1.235,11.244,4.418,1.205,0.874,-0.082,0,0,0
89635000000,11.357,3.932,0.849,11.323,4.831,0.916,11.421,4.741,0.886,0.9,-0.066,0,0,0
91636000000,11.62,4.133,0.425,11.596,5.063,0.489,11.698,4.963,0.458,0.93,-0.064,0,0,0
93643000000,11.955,4.206,0.032,11.945,5.167,0.105,12.049,5.055,0.07,0.961,-0.073,0.001,0,0
95643000000,12.289,4.16,-0.235,12.285,5.148,-0.134,12.385,5.023,-0.168,0.988,-0.102,0.001,0,0
97645000000,12.64,4.155,0.2,12.633,5.182,0.307,12.737,5.046,0.273,1.027,-0.107,0.002,0,0
99645000000,12.984,4.283,0.474,12.964,5.346,0.57,13.075,5.2,0.538,1.062,-0.096,0.003,0,0
1.0165E+11,13.308,4.478,0.572,13.279,5.575,0.661,13.397,5.419,0.63,1.098,-0.089,0.001,0,0
1.03651E+11,13.644,4.691,0.549,13.595,5.817,0.638,13.72,5.651,0.607,1.127,-0.089,0.001,0.001,0
1.05657E+11,13.958,4.87,0.476,13.894,6.03,0.555,14.024,5.852,0.524,1.162,-0.078,0,0,0
1.07661E+11,14.315,4.995,0.208,14.237,6.181,0.291,14.372,5.992,0.257,1.188,-0.083,0.001,0,0
1.0967E+11,14.684,5.033,-0.015,14.612,6.249,0.072,14.745,6.048,0.038,1.218,-0.087,0.001,0,0
1.11675E+11,15.017,5.028,0.138,14.946,6.282,0.249,15.08,6.069,0.215,1.256,-0.111,0,0,0
1.13679E+11,15.371,5.139,0.438,15.283,6.428,0.538,15.422,6.204,0.505,1.292,-0.099,0,0,0
1.1569E+11,15.714,5.339,0.568,15.601,6.65,0.655,15.75,6.418,0.625,1.316,-0.088,0,0,0
1.17693E+11,16.052,5.567,0.618,15.909,6.898,0.699,16.068,6.659,0.67,1.339,-0.082,0,0,0
1.19701E+11,16.148,5.636,0.631,15.987,6.965,0.71,16.146,6.721,0.68,1.338,-0.079,0,0,0
1.2174E+11,16.334,5.784,0.645,16.172,7.126,0.727,16.335,6.877,0.697,1.351,-0.081,0,0,0
1.23744E+11,16.647,6.026,0.665,16.467,7.394,0.748,16.638,7.136,0.718,1.38,-0.083,0,0,0
1.25711E+11,16.926,6.247,0.676,16.73,7.641,0.762,16.912,7.378,0.732,1.408,-0.086,0,0,0
1.27751E+11,17.229,6.501,0.718,17.015,7.926,0.803,17.2,7.649,0.773,1.441,-0.086,0,0,0
1.29751E+11,17.528,6.768,0.736,17.289,8.215,0.821,17.482,7.93,0.791,1.467,-0.084,0,0,0
1.31758E+11,17.758,7.002,0.926,17.491,8.466,1.033,17.692,8.175,1.001,1.488,-0.107,0,0,0
1.33765E+11,17.921,7.339,1.334,17.609,8.801,1.44,17.822,8.511,1.411,1.494,-0.105,0,0.001,0
1.35767E+11,17.936,7.524,1.7,17.6,8.991,1.816,17.82,8.702,1.779,1.504,-0.116,0,0,0
1.37772E+11,17.802,7.792,2.395,17.422,9.255,2.513,17.649,8.977,2.476,1.511,-0.118,0,0,0
1.39775E+11,17.539,7.926,3.104,17.118,9.342,-3.052,17.343,9.077,-3.088,1.477,-0.127,0,0,0
1.41779E+11,17.386,7.896,-2.85,16.912,9.279,-2.718,17.137,9.025,-2.78,1.461,-0.132,0,0,0
1.43787E+11,17.043,7.746,-2.632,16.588,9.085,-2.508,16.798,8.849,-2.567,1.414,-0.123,0,0,0
1.4579E+11,16.781,7.575,-2.543,16.348,8.891,-2.425,16.547,8.669,-2.484,1.385,-0.119,0,0,0
1.47791E+11,16.776,7.572,-2.543,16.348,8.891,-2.425,16.547,8.669,-2.484,1.386,-0.119,0,0,0
1.49801E+11,16.775,7.571,-2.542,16.348,8.891,-2.425,16.547,8.669,-2.484,1.387,-0.118,0,0,0
1.51839E+11,16.718,7.526,-2.546,16.285,8.836,-2.428,16.483,8.62,-2.487,1.38,-0.117,0,0,0
1.53828E+11,16.39,7.311,-2.575,15.982,8.582,-2.457,16.165,8.384,-2.517,1.335,-0.118,0,0,0
1.55842E+11,16.051,7.1,-2.587,15.669,8.33,-2.469,15.836,8.15,-2.528,1.288,-0.118,0,0,0
1.57845E+11,15.711,6.89,-2.588,15.356,8.081,-2.469,15.509,7.92,-2.529,1.242,-0.118,0.001,0,0
1.59848E+11,15.372,6.68,-2.585,15.043,7.831,-2.466,15.182,7.69,-2.526,1.197,-0.119,0.001,0.001,0
1.61853E+11,15.035,6.464,-2.583,14.73,7.58,-2.466,14.856,7.459,-2.525,1.157,-0.118,0.001,0,0
1.63854E+11,14.696,6.253,-2.584,14.418,7.33,-2.465,14.53,7.228,-2.524,1.112,-0.119,0.001,0,0
1.65863E+11,14.353,6.038,-2.582,14.105,7.078,-2.462,14.201,6.993,-2.522,1.069,-0.119,0,0,0
