timestamp_ns,ekf_x,ekf_y,ekf_theta,gt_x,gt_y,gt_theta,odom_x,odom_y,odom_theta,pos_error,orient_error,P_xx,P_yy,P_thetatheta
4743000000,0,0,0,0,0,0,0,0,0,0,0,0.011,0.01,0.012
6778000000,-0.021,-0.001,0.001,0,0,0,0,0,0,0.021,0.001,0.004,0.005,0.008
8787000000,-0.019,-0.001,0.002,0,0,0,0,0,0,0.019,0.002,0.006,0.005,0.012
10778000000,0.022,0,0.019,0.054,0.001,0.02,0.054,0.001,0.02,0.031,-0.001,0.002,0.005,0.002
12795000000,0.408,0.038,0.164,0.44,0.037,0.159,0.442,0.038,0.16,0.032,0.004,0.002,0.005,0.002
14818000000,0.765,0.097,0.234,0.828,0.116,0.231,0.808,0.111,0.229,0.066,0.003,0.001,0,0.002
16886000000,1.134,0.179,0.217,1.175,0.195,0.21,1.174,0.195,0.211,0.044,0.006,0.001,0,0.002
18882000000,1.522,0.261,0.195,1.565,0.273,0.191,1.564,0.274,0.191,0.044,0.005,0.001,0,0.002
20894000000,1.86,0.33,0.19,1.903,0.337,0.184,1.902,0.338,0.185,0.044,0.006,0.001,0,0.002
22908000000,2.249,0.405,0.188,2.299,0.41,0.183,2.295,0.411,0.183,0.05,0.005,0.002,0,0.004
24912000000,2.618,0.478,0.188,2.657,0.476,0.182,2.652,0.477,0.182,0.039,0.006,0.002,0,0.004
26914000000,2.98,0.544,0.175,3.032,0.542,0.168,3.025,0.543,0.169,0.052,0.006,0.005,0,0.002
28921000000,3.387,0.614,0.167,3.427,0.608,0.16,3.423,0.609,0.161,0.041,0.006,0.01,0,0.004
30922000000,3.745,0.67,0.107,3.761,0.655,0.097,3.754,0.656,0.097,0.022,0.011,0.007,0,0.006
32929000000,4.175,0.693,0,4.152,0.671,-0.01,4.143,0.671,-0.01,0.032,0.009,0.053,0,0.004
34933000000,4.479,0.687,-0.045,4.505,0.659,-0.05,4.495,0.659,-0.051,0.039,0.005,0.008,0,0.004
36935000000,4.862,0.686,0.043,4.881,0.657,0.04,4.869,0.657,0.039,0.035,0.003,0.073,0,0.006
