submap_id,timestamp,confidence,information,robot_x_var,robot_y_var,robot_theta_var,num_landmarks
0,11184000000,0.0080167,8049.0067,0.002132638,0.005977312,0.000444745,4
1,16601000000,0.009225015,9267.829344,0.002038394,0.006147024,0.000379755,4
2,21586000000,0.861981275,1980365.913,9.08E-06,4.92E-06,3.37E-06,3
3,26584000000,0.669363572,1106735.912,0.000451886,2.48E-05,5.15E-06,2
4,31601000000,0.706489516,1225841.92,0.0018108,3.39E-05,3.76E-06,2
5,36595000000,0.885624374,2168267.279,0.001996553,8.43E-06,1.70E-06,2
6,41592000000,0.903116641,2334247.509,0.00199621,7.89E-06,1.38E-06,2
7,46589000000,0.887296137,2182991.586,0.001971035,1.73E-05,1.40E-06,2
8,51587000000,0.966747258,3403618.046,0.001255976,2.10E-05,1.45E-06,4
9,56583000000,0.962745449,3289981.173,1.05E-05,9.78E-06,1.21E-06,3
10,61597000000,0.896355567,2266789.147,8.17E-06,1.77E-05,2.44E-06,3
11,66601000000,0.804623826,1632828.48,7.92E-06,1.61E-05,1.71E-06,2
12,71601000000,0.902859653,2331598.469,1.08E-05,1.60E-05,2.52E-06,3
13,76602000000,0.971038776,3541797.46,1.29E-05,4.66E-05,2.58E-06,6
14,81600000000,0.876160585,2088769.592,1.73E-05,8.68E-05,1.93E-06,3
15,86589000000,0.999979819,10810761.44,0.000105056,4.27E-05,2.83E-06,13
16,91595000000,0.907736485,2383106.507,0.001509742,0.000398933,7.40E-06,7
17,96600000000,0.690835409,1173881.486,0.003152519,0.000737668,9.03E-06,5
18,1.01591E+11,0.999671124,8019830.906,0.000731192,4.89E-05,3.67E-06,8
19,1.06586E+11,0.999280818,7237396.451,0.000128425,7.03E-05,5.01E-06,8
20,1.116E+11,0.900432117,2306915.627,0.000220107,0.000373722,6.76E-06,5
21,1.16591E+11,0.990011362,4606307.076,0.000269583,0.000329441,3.23E-06,9
22,1.21596E+11,0.99999953,14571586.17,5.78E-05,3.70E-05,2.09E-06,8
23,1.26594E+11,0.999998354,13317323.89,8.02E-05,4.08E-05,2.59E-06,11
