submap_id,timestamp,confidence,information,robot_x_var,robot_y_var,robot_theta_var,num_landmarks
0,9885000000,0.000705563,705.8121382,0.010070572,0.010000249,0.009991301,4
1,14884000000,0.017160939,17309.89459,0.004881283,0.006208885,0.000396699,4
2,19893000000,0.030600048,31078.00527,0.004212497,0.004769612,0.000228057,3
3,24876000000,0.276565887,323745.8039,0.000600584,5.54E-05,2.27E-05,2
4,29893000000,0.46336862,622443.8632,0.001680232,2.81E-05,1.92E-05,2
5,34886000000,0.633237334,1003040.327,0.002003587,2.28E-05,1.77E-05,2
6,39889000000,0.717556043,1264275.129,0.001997998,1.84E-05,1.68E-05,2
7,44891000000,0.770131286,1470246.943,0.002005717,1.65E-05,1.65E-05,2
8,49893000000,0.813242708,1677945.409,0.001370472,2.40E-05,1.54E-05,4
9,54900000000,0.8834645,2149559.334,9.39E-05,3.92E-05,1.36E-05,4
10,59890000000,0.862789358,1986238.002,9.09E-05,6.81E-05,9.54E-06,5
11,64890000000,0.932643753,2697759.633,2.10E-05,8.67E-05,1.07E-05,6
12,69900000000,0.721140125,1277045.864,4.43E-05,0.000122647,2.26E-05,3
13,74902000000,0.592249868,897100.7141,5.68E-05,0.000107827,2.16E-05,2
14,79894000000,0.79180796,1569294.354,5.86E-05,0.000110087,2.37E-05,5
15,84895000000,0.895432212,2257919.734,5.56E-05,0.000135588,3.27E-05,6
16,89901000000,0.619681305,966745.7067,0.000111154,0.000227511,6.58E-05,2
17,94900000000,0.882050012,2137494.571,0.001037661,0.00013069,0.000112555,8
18,99897000000,0.791210153,1566427.05,0.002774636,0.000299942,9.35E-05,5
19,1.04885E+11,0.67525643,1124719.422,0.001252163,0.00072119,7.84E-05,5
20,1.09894E+11,0.765163639,1448866.343,0.00064606,0.00036776,7.51E-05,8
21,1.14901E+11,0.856714933,1942919.161,0.000300878,0.000311122,7.51E-05,8
22,1.199E+11,0.880905462,2127837.662,0.000316898,0.00034949,0.000274265,8
23,1.24901E+11,0.809015415,1655562.562,0.000355575,0.000388256,8.31E-05,6
24,1.299E+11,0.907448289,2379987.752,0.000340185,0.000374035,2.95E-05,8
25,1.349E+11,0.92233889,2555400.663,0.00029197,0.000530848,2.59E-05,10
26,1.39898E+11,0.984892926,4192592.141,0.000147415,0.000150928,1.43E-05,12
27,1.44903E+11,0.949858648,2992909.226,0.000218296,0.000159203,1.82E-05,7
28,1.49899E+11,0.986247044,4286501.473,0.000144585,0.000146236,1.24E-05,9
29,1.54897E+11,0.930369135,2664547.342,0.000425199,0.000252003,2.45E-05,8
30,1.59892E+11,0.672254203,1115516.981,0.001323457,0.000540856,4.85E-05,7
31,1.64904E+11,0.602285388,922020.5851,0.001313798,0.000535543,0.000108918,7
32,1.69893E+11,0.8721499,2056896.798,0.000327624,0.000188074,0.000148534,8
33,1.74906E+11,0.477161059,648481.8153,0.001319821,0.000604814,0.000124485,5
34,1.79886E+11,0.663855238,1090213.373,0.001661011,0.000398442,0.000121093,7
35,1.84894E+11,0.762843797,1439036.27,0.001175887,0.000338943,7.02E-05,9
36,1.89891E+11,0.808135343,1650965.068,0.000270559,0.000315839,4.72E-05,10
37,1.94903E+11,0.853595771,1921383.793,0.000142285,0.000249707,2.82E-05,9
38,1.99891E+11,0.90279509,2330934.054,0.000134038,0.00019423,3.04E-05,7
39,2.04892E+11,0.810370945,1662685.458,0.000224767,0.000148752,2.59E-05,11
40,2.0989E+11,0.754247365,1403429.797,0.000128292,0.000268648,2.80E-05,8
41,2.149E+11,0.84327183,1853242.378,8.26E-05,0.000169022,2.00E-05,7
