submap_id,timestamp,confidence,information,robot_x_var,robot_y_var,robot_theta_var,num_landmarks
0,9590000000,0.009478703,9523.911703,0.001183022,0.005159226,0.000400987,4
1,14568000000,0.010386961,10441.28222,0.001161457,0.005802389,0.000360621,4
2,19584000000,0.79745219,1596779.322,9.64E-06,8.45E-06,3.63E-06,3
3,24571000000,0.460943935,617935.6974,0.002621533,7.61E-05,1.04E-05,2
4,29589000000,0.397379817,506468.1605,0.010163296,0.000284635,1.95E-05,2
5,34577000000,0.433648449,568540.2792,0.102434198,0.00024816,1.21E-05,2
6,39595000000,0.43098414,563846.9724,0.116203661,0.000331193,1.10E-05,2
7,44591000000,0.393150099,499473.7992,0.079337084,0.000662623,1.50E-05,2
8,49583000000,0.714465896,1253393.802,0.088337434,0.000187004,4.43E-06,4
9,54590000000,0.891867649,2224399.334,1.21E-05,3.80E-05,1.65E-06,3
10,59587000000,0.956265085,3129608.517,9.19E-06,4.96E-05,1.88E-06,6
11,64591000000,0.951693857,3030196.542,6.92E-06,3.95E-05,2.59E-06,5
12,69586000000,0.876664383,2092846.043,8.53E-06,4.55E-05,1.86E-06,3
13,74593000000,0.675016681,1123981.423,1.42E-05,8.54E-05,2.26E-06,2
14,79605000000,0.886339121,2174536.013,1.22E-05,4.82E-05,1.63E-06,3
15,84591000000,0.926371111,2608717.813,2.98E-05,0.00016937,2.32E-06,5
16,89596000000,0.99940972,7434912.987,2.25E-05,7.67E-05,1.85E-06,10
17,94601000000,0.248486871,285666.6001,0.013182215,0.003043646,2.64E-05,6
18,99601000000,0.217371619,245097.3049,0.073330203,0.00421492,3.48E-05,7
19,1.046E+11,0.383234482,483266.3637,0.092265063,0.001638866,1.61E-05,7
20,1.09592E+11,0.999999926,16418482.97,3.00E-05,1.95E-05,4.01E-06,8
21,1.14597E+11,0.999999994,18890699.48,2.02E-05,2.47E-05,5.77E-06,8
22,1.19601E+11,0.798787829,1603395.35,0.001669149,0.001428777,1.02E-05,8
23,1.24591E+11,0.998975014,6883076.675,0.00011667,0.000120597,2.66E-06,8
24,1.29592E+11,0.998950845,6859770.3,0.000121179,0.000127556,2.78E-06,8
25,1.34598E+11,0.999954597,9999937.73,7.05E-05,8.06E-05,2.13E-06,11
